datetime,day of week,total,place,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,mad garlic,milk tea,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade
11-07-2019 15.35,Thur,23800,,1,,,1,,,3,,,,,,,,1,
11-07-2019 16.10,Thur,15800,,1,,,,,,1,,,,,,1,,,
12-07-2019 11.49,Fri,58000,,,,,,,,14,,,,,,,,,
13-07-2019 13.19,Sat,14800,,1,1,,,,,,,,,,,,,1,
13-07-2019 13.22,Sat,15600,,2,,,,,,1,,,,,,,,,
13-07-2019 14.54,Sat,15800,,1,,,,,,,,1,,,,,,1,
13-07-2019 15.08,Sat,15800,,1,,,,,,,,,,,,1,,1,
13-07-2019 15.09,Sat,14000,,,,,,,,2,,,,,,,,,
13-07-2019 15.23,Sat,19100,,2,1,,,,,1,,,,,,,,,
13-07-2019 16.32,Sat,22300,,1,1,,,,,1,,,,,,,,,
14-07-2019 11.08,Sun,15300,,1,,,,,,1,,,,,,,,1,
14-07-2019 11.15,Sun,27600,,2,,,3,,,1,,,,,,,,,
14-07-2019 11.44,Sun,26300,,1,,,,,,2,,,,,,,,1,
14-07-2019 11.59,Sun,19800,,1,,,,,,1,,,,,,1,,1,
14-07-2019 12.59,Sun,18300,,1,,,,,,,,,,,,1,,,
14-07-2019 13.05,Sun,15600,,2,,,,,,1,,,,,,,,,
14-07-2019 14.06,Sun,23600,,2,,,,,,1,,,,,,1,,,
14-07-2019 14.41,Sun,20100,,2,,,,,,1,,,,,,,,1,
14-07-2019 14.51,Sun,25600,,2,,1,,,1,,,,,,,1,,,
14-07-2019 15.02,Sun,19800,,1,,,,,,1,,,,,,1,,1,
15-07-2019 11.45,Mon,15100,,2,,,,,,,,,,,,,,,
15-07-2019 16.21,Mon,15800,,1,,,,,,1,,,,,1,,,,
17-07-2019 11.47,Wed,17800,,1,1,,,,,1,,,,,,,,,
17-07-2019 13.23,Wed,14800,,3,,,,1,,,,,,,,,,,
17-07-2019 14.16,Wed,23400,,1,,2,,,,,,,,,,1,,,
17-07-2019 16.32,Wed,18100,,1,1,,,,,,,,,,,,,,1
19-07-2019 11.43,Fri,14800,,1,,,,1,,1,,,,,,,,,
19-07-2019 12.11,Fri,15800,,1,,,,,,,,,,,,1,,,1
19-07-2019 12.36,Fri,21800,,1,,,,1,,2,,,,,,,,,
19-07-2019 12.44,Fri,20600,,2,,,,,,1,,,,,,1,,,
19-07-2019 13.35,Fri,14800,,1,,,,1,,1,,,,,,,,,
19-07-2019 13.50,Fri,15100,,2,,,,,,,,,,,,,,,
19-07-2019 14.12,Fri,58000,,,,,,16,,,,,,,,,,,
19-07-2019 15.33,Fri,35900,,3,,,,3,,2,,,,,,,,,
20-07-2019 11.19,Sat,15800,,1,,,,,,,,1,,,,1,,,
20-07-2019 11.35,Sat,18800,,1,,,1,1,1,,,,,,,,,,
20-07-2019 11.40,Sat,22800,,1,,1,,,,1,,,,,,,,,
20-07-2019 11.44,Sat,16400,,3,,,,,,,,,,,,,,,
20-07-2019 12.08,Sat,15800,,1,,,,,,,,,1,,,,,,
20-07-2019 12.13,Sat,26300,,1,,,,,1,,,,,,,1,1,,
20-07-2019 12.31,Sat,14800,,1,,,,,1,,,,,,,,,,
20-07-2019 12.55,Sat,15800,,1,,,,,,1,,,,,,1,,,
20-07-2019 13.19,Sat,20500,,,,,,2,,1,,,,,,,,,
20-07-2019 13.44,Sat,18600,,2,,,,1,,,,,,,,,,,
20-07-2019 13.56,Sat,17800,,1,,,1,1,,,,,,,,,,,
21-07-2019 11.07,Sun,18600,,1,,,,1,,,,,,,,,,,
21-07-2019 11.42,Sun,17300,,1,1,,,1,,,,,,,,,,,
21-07-2019 12.12,Sun,17800,,1,,,1,,,,,,,,,1,1,,
21-07-2019 12.25,Sun,14800,,1,,,,,1,,,,,,,,,,
21-07-2019 12.29,Sun,16100,,2,,,,,,,,,,,,1,,,
21-07-2019 12.47,Sun,21000,,,1,,,1,,1,,,,,,1,,,
21-07-2019 13.37,Sun,19300,,1,,,,1,,,,2,,,,,,,
21-07-2019 13.45,Sun,22300,,1,,,2,1,,1,,,,,,,,,
21-07-2019 14.05,Sun,18300,,1,1,,,1,,,,,,,,,,1,
21-07-2019 14.53,Sun,15300,,1,1,1,,1,,,,,,,,,,,
21-07-2019 15.21,Sun,15100,,1,,,,,,,,,,,,,,,
22-07-2019 11.38,Mon,15600,,2,,,1,,,,,,,,,,,,
22-07-2019 12.16,Mon,19300,,1,,,,1,,,,1,,,,1,,,
22-07-2019 12.24,Mon,18300,,1,,,,1,,,,,,,,1,,,
22-07-2019 12.41,Mon,18300,,1,,,,2,,1,,,,,,,,,
22-07-2019 13.28,Mon,16600,,2,,,,,,,,,,,,,,,
22-07-2019 13.44,Mon,14800,,1,,,,,,,,,1,,,,,,
22-07-2019 14.47,Mon,26000,,5,,,,,,,,,,,,,,,
22-07-2019 15.37,Mon,19600,,1,,,,,1,1,,,,,,,,,
22-07-2019 16.54,Mon,18600,,1,,,,1,,,,,,,,,,,1
24-07-2019 11.29,Wed,16400,,3,,,,,,,,,,,,,,,
24-07-2019 11.56,Wed,27100,,2,2,,,,,1,,,,,,1,,,
24-07-2019 13.24,Wed,18800,,1,1,,1,1,,,,,,,,,,,
24-07-2019 14.25,Wed,25400,,3,,,,,,,,2,,,,,,,
24-07-2019 14.28,Wed,26300,,1,2,,1,,,1,,,,,,,,1,
24-07-2019 15.36,Wed,16100,,2,,,,,,,,,,,,,,,
24-07-2019 15.40,Wed,16100,,2,,,,,,1,,,,,,,,,
24-07-2019 16.02,Wed,16400,,3,,,,,,,,,,,,,,,
24-07-2019 17.20,Wed,15000,,,,,,,,,,,,,,,2,,
25-07-2019 11.49,Thur,18600,,1,,,,,,1,,,,,,,,,
25-07-2019 11.57,Thur,26800,,1,1,,1,1,1,,,,,,,,,1,
25-07-2019 12.01,Thur,35000,,,,,,,,,,,,,,,6,,
25-07-2019 12.35,Thur,38000,,5,,,,1,,,,,,,,,2,,
25-07-2019 13.01,Thur,23100,,2,,,,,,1,,,,,,,,,
25-07-2019 13.05,Thur,17300,,,,,,,,,,,,,,,,,1
25-07-2019 13.40,Thur,19600,,2,,,,1,,,,,1,,,,,,
25-07-2019 13.42,Thur,15300,,1,,,1,,,,,,1,,,,,,
25-07-2019 14.12,Thur,16100,,2,,,,,,,,,1,,,,,,
25-07-2019 15.09,Thur,14300,,1,,,1,1,,,,,,,,,,,
25-07-2019 15.57,Thur,15100,,1,,,,,,,,,,,,,,,
25-07-2019 16.03,Thur,20000,,,,,,,,,,,1,,,1,,1,
26-07-2019 11.26,Fri,25300,,1,1,,,3,,,,,,,,1,,,
26-07-2019 11.23,Fri,73200,,4,3,,,6,,1,,,1,,,1,,,
26-07-2019 11.31,Fri,22800,,1,,,,,,1,,,1,,,1,1,,
26-07-2019 11.36,Fri,1293000,,6,5,,,5,,,,,5,,,,,,
26-07-2019 11.37,Fri,15000,,,1,1,,1,,,,,,,,1,,,
26-07-2019 11.55,Fri,20800,,1,,,,,,1,,,,,,,2,,
26-07-2019 13.19,Fri,25900,,3,,,,,,1,,,,,,,2,,
26-07-2019 13.24,Fri,28100,,2,,,1,,,,,,,,1,1,,,
26-07-2019 14.05,Fri,15800,,1,,,,,,,,1,,,,,,,1
26-07-2019 14.24,Fri,35000,,5,,,,,,,,,,,,2,,,
26-07-2019 14.52,Fri,22100,,1,,,,,,,,,,,1,,1,,
26-07-2019 14.56,Fri,16100,,2,,,,,,,,,1,,,,,,
27-07-2019 11.29,Sat,18800,,1,1,,1,,,1,,,,,,,,,
27-07-2019 11.57,Sat,21800,,1,1,,,1,,,,,1,,,,,,
27-07-2019 12.00,Sat,18600,,1,,,,1,,,,,,,,,,1,
27-07-2019 12.07,Sat,33200,,2,2,,,,,,,,,,,,,,
27-07-2019 12.20,Sat,22800,,1,,,,1,,,,,,,1,,,,
27-07-2019 12.26,Sat,17000,,1,,,,3,,,,,,,,,,,
27-07-2019 12.43,Sat,16400,,1,1,,,,,,,,1,,,,,,
27-07-2019 13.50,Sat,14800,,1,1,,,,,,,,1,,,,,,
27-07-2019 14.05,Sat,32600,,1,1,1,,,,,,,,,1,1,1,1,
28-07-2019 11.17,Sun,17300,,1,,,,1,,,,,,,,1,1,,
28-07-2019 12.10,Sun,14800,,1,1,,,,,,,,1,,,,,,
28-07-2019 12.21,Sun,14800,,1,,,,,,1,,,,,,,,,
28-07-2019 12.47,Sun,14300,,1,,,1,,,,,,,,,,,,
28-07-2019 12.48,Sun,14800,,1,,,,1,,1,,,,,,,,,
28-07-2019 13.13,Sun,25600,,2,1,,,2,,,,,,,,,1,,
28-07-2019 13.14,Sun,19500,,,1,1,,,,,,,1,,,,,,1
29-07-2019 11.08,Mon,24800,,1,,,,3,,,,,,,,,3,,
29-07-2019 11.12,Mon,24100,,2,,,,1,,1,,,,,,1,,,
28-07-2019 11.14,Mon,15800,,1,,,,,,1,,,1,,,,,,
29-07-2019 11.39,Mon,14800,,1,,,,,,,,,1,,,,,,
29-07-2019 12.02,Mon,14800,,1,,,,,,,,,,,,1,,,
29-07-2019 12.15,Mon,18300,,1,,,,1,,,,,,,,1,,,
29-07-2019 12.22,Mon,27900,,3,1,,,,,,,,,,,1,,,
29-07-2019 12.54,Mon,15800,,1,,,,,,,,,,,,1,,,
29-07-2019 13.25,Mon,18100,,1,,,1,1,,,,,,,,,,,
29-07-2019 13.36,Mon,28000,,,,,,1,,,,1,1,,,,,1,
29-07-2019 13.53,Mon,28000,,,,,2,,,1,,,1,,,,,1,
31-07-2019 11.09,Wed,15600,,2,,,1,,,,,,,,,,,,
31-07-2019 11.25,Wed,30100,,2,1,,,2,,,,,1,,,,,,
31-07-2019 11.38,Wed,23300,,1,1,1,,1,,,,,,,,,,,
31-07-2019 11.44,Wed,30200,,2,,,1,,,,,,,,,,,,
31-07-2019 12.48,Wed,15100,,2,1,,,,,,,,,,,,,,
31-07-2019 13.18,Wed,27300,,1,1,,2,,,,,,1,,,,,1,
31-07-2019 13.19,Wed,15300,,1,,,1,,,1,,,,,,,,,
31-07-2019 13.29,Wed,16100,,1,,,,,,,,,1,,,,,,
31-07-2019 13.54,Wed,15100,,1,,,,,,,,1,,,,,,,
31-07-2019 13.58,Wed,15800,,1,,,,,,1,,,1,,,,,,
01-08-2019 11.03,Thur,14500,,,,,,,,1,,,1,,,,,,
01-08-2019 11.17,Thur,13100,,2,,,,,,,,,,,,,,,
01-08-2019 11.25,Thur,16100,,2,,,,,,,,,1,,,,,,
01-08-2019 11.50,Thur,14800,,1,,,,1,,,,,,,,1,,,
01-08-2019 12.02,Thur,21100,,2,1,,,1,,,,,1,,,,,,
01-08-2019 12.15,Thur,20600,,2,,,,,,1,,,,,,1,,,
01-08-2019 12.24,Thur,32600,,1,2,,,2,,1,,,,,,,,,
01-08-2019 12.38,Thur,14500,,,1,,,,,,,1,1,,,,,,
01-08-2019 13.37,Thur,15100,,2,,,,1,,,,,,,,,,,
01-08-2019 13.39,Thur,15000,,,1,1,,,,,,1,,,,,,,
01-08-2019 14.17,Thur,14800,,1,,,,,,1,,,,,,,,,
01-08-2019 14.56,Thur,23000,,,,,,4,,,,,,,,,,,
02-08-2019 11.03,Fri,19900,,3,,,,,,,,,,,,,,,
02-08-2019 11.04,Fri,14100,,1,1,,,,,,,,,,,,,,
02-08-2019 11.06,Fri,18000,,3,,,,,,1,,,1,,,1,1,,
02-08-2019 11.19,Fri,16400,,3,,,,,,,,,,,,,,,
02-08-2019 11.31,Fri,17300,,1,1,,,,,,,,,,,,1,,1
02-08-2019 11.57,Fri,30800,,6,,,,,,,,,,,,,,,
02-08-2019 12.21,Fri,15800,,1,,,,,1,1,,,,,,,,,
02-08-2019 12.31,Fri,19900,,2,,,,,,,,,,,,1,,,
02-08-2019 12.51,Fri,15800,,1,1,,,,,1,,,,,,,,,
03-08-2019 11.02,Sat,26000,,5,,,,,,,,,,,,,,,
03-08-2019 11.03,Sat,26100,,2,1,,,,,,,,,,,,3,,
03-08-2019 11.03,Sat,16000,,,,,,2,,,,,,,,,,,
03-08-2019 11.05,Sat,29100,,1,,,,1,,,,,,,,1,1,,
03-08-2019 11.06,Sat,16800,,1,1,1,,,,,,,,,,,2,,
03-08-2019 11.08,Sat,22800,,,1,,,1,,,,,,,,,4,,
03-08-2019 11.20,Sat,16600,,1,,,,1,,,,,,,,,1,,
03-08-2019 11.53,Sat,18800,,1,1,,,1,,,,,,,,,2,,
03-08-2019 12.06,Sat,16400,,3,,,,,,,,,,,,,,,
03-08-2019 12.44,Sat,19300,,1,1,,,,,,,1,,,,1,,,
03-08-2019 13.06,Sat,16400,,3,,,,,,,,,,,,,,,
03-08-2019 13.18,Sat,18300,,1,,,2,1,,,,,,,,,,,
03-08-2019 13.20,Sat,16300,,1,,1,,1,,,,,,,,1,,,
03-08-2019 13.42,Sat,15800,,1,,,,,,,,,,,,,,,
03-08-2019 15.07,Sat,17900,,3,,1,,,,,,,,,,,,,
03-08-2019 15.53,Sat,16400,,3,,,,,,,,,,,,,,,
04-08-2019 11.02,Sun,34800,,1,1,,2,2,,,,,,,,,1,,
04-08-2019 11.04,Sun,31600,,2,1,,,1,,,,,,,,1,2,,
04-08-2019 11.07,Sun,16400,,3,,,,,,,,,,,,,,,
04-08-2019 11.07,Sun,19300,,1,1,,,,,1,,1,,,,,,,
04-08-2019 11.41,Sun,24300,,1,1,1,,,,1,,,,,,,1,,
04-08-2019 11.52,Sun,22100,,2,,,,1,,,,,,,,1,1,,
04-08-2019 12.27,Sun,14800,,1,1,,,,,,,,,,,1,,,
04-08-2019 12.30,Sun,19500,,,1,,,2,,,,,,,,,,,
04-08-2019 12.35,Sun,20600,,2,,,,,,,,,1,,,1,,,
04-08-2019 12.39,Sun,17800,,,1,1,,,,,,,,,,,1,,
05-08-2019 11.11,Mon,16300,,1,,,,,,1,,,,,,,2,,
05-08-2019 11.16,Mon,23100,,2,,,,,,,,1,,,,1,1,,
05-08-2019 11.18,Mon,31400,,2,,,,,,1,,,1,,,,1,,
05-08-2019 11.32,Mon,17000,,,,,,,,,,,,,,,1,,
05-08-2019 11.59,Mon,22300,,1,1,1,,,,,,,1,,,,1,,
05-08-2019 12.14,Mon,26600,,2,1,,,1,,1,,,,,,,,,
05-08-2019 12.14,Mon,14800,,1,1,,,,,,,,1,,,,,,
05-08-2019 12.42,Mon,19600,,2,,,,,,1,,,,,,,,,
05-08-2019 12.49,Mon,49300,,1,1,1,,1,1,,,,,,1,,,3,1
05-08-2019 13.54,Mon,19800,,1,1,1,,1,1,,,,,,,,,,
05-08-2019 14.25,Mon,20800,,1,1,,,,1,,,,,,,,1,,
05-08-2019 14.53,Mon,16300,,1,,,,2,,,,,,,,,1,,
07-08-2019 11.03,Wed,16300,,1,,,,2,,,,,,,,,1,,
07-08-2019 11.10,Wed,21200,,4,,,,,,,,,,,,,,,
07-08-2019 12.17,Wed,15300,,,,,,1,,,,,,,,,1,,
07-08-2019 12.20,Wed,27300,,1,,,,1,1,1,,,,,,,,1,
07-08-2019 12.28,Wed,16100,,2,,,,,,,,,,,,1,,,
07-08-2019 13.28,Wed,17600,,1,,,,2,,,,,,,,,,,
07-08-2019 13.33,Wed,19500,,,3,,,,,,,,,,,,,,
07-08-2019 13.59,Wed,14800,,1,,,2,,,,,,,,,,,,
07-08-2019 14.05,Wed,15000,,,1,1,,1,,,,,,,,1,,,
07-08-2019 14.06,Wed,14100,,2,,,,,,,,,,,,,1,,
07-08-2019 14.50,Wed,23800,,1,1,,,,1,1,,1,,,,,,,
08-08-2019 11.07,Thur,16100,,2,1,,,,,,,,,,,,,,
08-08-2019 11.09,Thur,16400,,3,,,,,,,,,,,,,,,
08-08-2019 11.22,Thur,20300,,1,,,,,,,,,1,,,2,,,
08-08-2019 12.03,Thur,16500,,,1,1,,,,1,,,,,,,1,,
08-08-2019 12.13,Thur,15100,,2,,,,,,,,,,,,,,,
08-08-2019 12.39,Thur,15300,,1,1,,,,,,,,,,,,2,,
08-08-2019 12.56,Thur,16000,,,1,,,1,,,,,1,,,,1,,
08-08-2019 13.22,Thur,15800,,1,,,,,,1,,,,,,,,1,
08-08-2019 13.26,Thur,17300,,1,,,,1,,,,,,,,,,,
08-08-2019 13.36,Thur,33200,,2,,,,,,2,,,,,,,2,,
08-08-2019 13.55,Thur,22300,,,,,1,1,1,,,,1,,,,,,
08-08-2019 13.57,Thur,32400,,3,,,,2,,,,,,,,2,,,
08-08-2019 14.11,Thur,16100,,2,,,,,,,,,1,,,,,,
08-08-2019 14.52,Thur,17000,,,1,2,1,,,,,,,,,1,,,
08-08-2019 14.58,Thur,20500,,,1,2,,,,,,,,,,,3,1,
09-08-2019 11.34,Fri,17000,,,,,,2,,,,,,,,1,,,
09-08-2019 12.31,Fri,18600,,1,,,,1,,,,1,,,,,,,
09-08-2019 15.22,Fri,26000,,5,,,,,,,,,,,,,,,
09-08-2019 15.22,Fri,35800,,6,,,,2,,,,,,,,,,,
09-08-2019 15.30,Fri,15100,,1,,,,,,,,,,,,,,1,
10-08-2019 11.01,Sat,19600,,2,,,,,,1,,,,,,,,,
10-08-2019 11.02,Sat,15300,,1,,,1,,,,,,1,,,,,,
10-08-2019 11.03,Sat,19100,,1,,,,,,,,,1,,,,1,,
10-08-2019 11.05,Sat,28600,,2,1,,,,,1,,,1,,,1,,,
10-08-2019 11.09,Sat,17300,,1,,,,1,,,,,,,,,,,
10-08-2019 11.27,Sat,36800,,1,1,,,1,,,,,1,,,,2,1,
10-08-2019 11.38,Sat,25300,,1,1,,,1,,1,,,,,,,1,,
10-08-2019 12.17,Sat,46200,,4,,,,,,,,,2,,,1,,,
10-08-2019 13.09,Sat,30200,,4,,,,,,2,,,,,,,,,
10-08-2019 13.15,Sat,16600,,1,,,,1,,,,,,,,,1,,
10-08-2019 13.22,Sat,21200,,4,,,,,,,,,,,,,,,
10-08-2019 13.31,Sat,24400,,3,,,,1,,1,,,,,,,,,
11-08-2019 11.01,Sun,21800,,1,1,,,1,,,,,1,,,,,,
11-08-2019 11.02,Sun,16800,,1,,,1,,,,,,,,,,1,,
11-08-2019 11.03,Sun,16000,,,,,,1,,,,,,,,1,1,,
11-08-2019 11.08,Sun,22800,,1,,,,,,1,,,1,,,1,1,,
11-08-2019 11.08,Sun,17800,,1,,,1,,,1,,,,,,,1,,
11-08-2019 11.37,Sun,15800,,1,,,,,,,,,1,,,,,1,
11-08-2019 11.40,Sun,38900,,3,,,,2,,1,,,,,,,,,
11-08-2019 11.46,Sun,19600,,2,1,,,,,,,,,,,,,,
11-08-2019 11.50,Sun,15300,,1,1,1,,,,,,,,,,,,,
11-08-2019 11.58,Sun,27900,,3,1,,,,,,,,,,,1,,,
11-08-2019 12.58,Sun,15800,,1,,,,,1,,,,1,,,,,,
11-08-2019 13.14,Sun,19300,,1,,,,,,,,,1,,,,,,1
11-08-2019 13.21,Sun,23100,,2,,,,,,,,,1,,,,1,,
11-08-2019 13.27,Sun,17300,,1,,,,,1,,,,,,,,1,,
12-08-2019 11.05,Mon,28400,,2,,,,1,,,,,,,,,1,,
12-08-2019 11.08,Mon,20800,,1,,,,1,,1,,,,,,,,,
12-08-2019 11.48,Mon,16300,,1,1,,,1,,,,,,,,,1,,
12-08-2019 12.39,Mon,24300,효자 3동,1,2,,,3,,,,,,,,,,,
12-08-2019 12.41,Mon,15800,효자 3동,1,,,,,,,,,1,,,1,,,
12-08-2019 12.48,Mon,14800,후평 1동,1,,,,,1,,,,,,,,,,
12-08-2019 12.53,Mon,16300,후평 1동,1,,,,,,,,,,,,,2,,
12-08-2019 13.27,Mon,18300,후평 2동,1,1,,,,,,,,,,,,,,
12-08-2019 13.56,Mon,19100,석사동,2,,,1,1,,,,,,,,,,,
12-08-2019 14.08,Mon,32100,후평 1동,1,,,2,,,,,,1,,,,,1,
12-08-2019 15.01,Mon,26000,소양동,5,,,,,,,,,,,,,,,
14-08-2019 11.03,Wed,41200,퇴계동,4,1,1,,2,,,,,1,,,,,,
14-08-2019 11.03,Wed,17800,동면,1,1,1,,1,,,,,,,,,1,,
14-08-2019 11.04,Wed,18300,효자 3동,1,,,,,,,,,1,,,,1,,
14-08-2019 11.07,Wed,17300,동면,1,,,,1,,,,,,,,,1,,
14-08-2019 11.16,Wed,65600,퇴계동,6,1,,,,,1,,,2,,,,,,
14-08-2019 11.22,Wed,29000,동면,,,,1,3,,,,,,,,,,1,
14-08-2019 11.25,Wed,27300,후평 1동,1,1,1,1,1,,,,,,,1,,,,
14-08-2019 11.31,Wed,22300,석사동,1,1,,,1,,,,,,,,,,,
14-08-2019 11.41,Wed,14300,동면,1,,,1,1,,,,,,,,,,,
14-08-2019 12.15,Wed,16400,후평 3동,3,,,,,,,,,,,,,,,
15-08-2019 11.03,Thur,24100,후평 3동,2,1,,,,1,1,,,,,,,,,
15-08-2019 11.06,Thur,17300,석사동,1,1,,,,,1,,,,,,,1,,
15-08-2019 11.15,Thur,16100,신사우동,2,,,,1,,,,,,,,,,,
15-08-2019 11.23,Thur,22100,강남동,2,1,,,1,,,,,,,,,,,
15-08-2019 11.49,Thur,15100,강남동,1,,,,,,,,,,,,1,,,
15-08-2019 11.50,Thur,58000,강남동,,,,,16,,,,,,,,,,,
15-08-2019 11.53,Thur,15000,후평 2동,,,,1,,,,,,,,,1,,1,
15-08-2019 12.00,Thur,18900,효자 1동,2,,,,,,,,,,,,,,,
15-08-2019 12.18,Thur,16400,동면,3,,,,,,,,,,,,,,,
16-08-2019 11.05,Fri,14800,후평 2동,1,,,,1,,,,,1,,,,,,
16-08-2019 11.54,Fri,17800,조운동,1,,,,,,1,,,,,,,1,,
16-08-2019 11.54,Fri,15100,퇴계동,1,,,,,,,,,,,,,,,
16-08-2019 12.07,Fri,14100,교동,2,,,,,,,,,,,,,1,,
16-08-2019 12.49,Fri,18300,신사우동,1,1,,,,,,,,,,,,1,,1
16-08-2019 13.27,Fri,15800,동면,1,,,,,,,,,,,,1,,,
17-08-2019 11.01,Sat,20100,동면,2,1,1,,,,,,,,,,,,,
17-08-2019 11.03,Sat,18300,소양동,1,,,,1,1,,,,,,,,,,
17-08-2019 11.17,Sat,24100,소양동,2,,,,,,,,,,,,,,,
17-08-2019 11.30,Sat,24300,동면,1,,,1,,,1,,,1,,,1,,,
17-08-2019 12.29,Sat,14800,동면,1,1,,,,,1,,,,,,,,,
17-08-2019 12.40,Sat,18800,후평 3동,1,,,1,,,,,,,,,,,1,
17-08-2019 12.57,Sat,29600,동면,2,1,2,,1,,,,,,,,,,,
17-08-2019 13.02,Sat,19800,석사동,1,1,1,,1,,,,,1,,,,,,
17-08-2019 13.19,Sat,20300,교동,1,1,1,1,,,1,,,,,,,,,
17-08-2019 13.38,Sat,32600,후평 1동,2,1,1,,,,2,,,,,,,,,
17-08-2019 14.07,Sat,19000,효자 1동,,,,,,,1,,,,,,1,,,
18-08-2019 11.01,Sun,17300,후평 2동,1,,,,2,,,,,,,,,,,
18-08-2019 11.06,Sun,36900,효자 2동,3,,,,2,,,,,2,,,,,,
18-08-2019 11.09,Sun,26600,약사명동,2,,,,,,1,,,,,,1,1,,
18-08-2019 11.09,Sun,22800,후평 1동,1,,,,1,,,,,1,,,,,,
18-08-2019 11.23,Sun,17800,후평 3동,1,,,1,,,,,,,,,1,1,,
